# C4 ResNet1D 8方法对比
# ResNet1D 实验数: 30
# InceptionTime 实验数: 30

## 详细数据（每实验×方法）
arch,pair,seed,method,n_id,n_ood,id_acc,ood_acc,id_deltaECE,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,decay,id_ood_gap,support
inceptiontime,chapman_cpsc,44,em_prior,3958,2057,0.8731682668014149,0.5051045211473019,0.06925040201151396,0.04666267016964337,0.03832538132383574,0.05526419651578001,0.01693881519194427,-0.022587731841870587,-0.022587731841870587,1
inceptiontime,chapman_cpsc,44,bbse_prior,3958,2057,0.8731682668014149,0.5051045211473019,0.05158761859406083,0.04361138045005947,0.03642763519046244,0.05073927890139521,0.01431164371093277,-0.007976238144001363,-0.007976238144001363,1
inceptiontime,chapman_cpsc,45,ts,3958,2057,0.8582617483577565,0.47107438016528924,0.001883685298904465,-0.005650213260863901,-0.005818864089738007,-0.005468417696949601,0.0003504463927884059,-0.007533898559768366,-0.007533898559768366,0
inceptiontime,chapman_cpsc,45,platt,3958,2057,0.8582617483577565,0.47107438016528924,0.004471474602799683,-0.009821063697487142,-0.012454773805832153,-0.007781822172893276,0.004672951632938877,-0.014292538300286825,-0.014292538300286825,0
inceptiontime,chapman_cpsc,45,isotonic,3958,2057,0.8582617483577565,0.47107438016528924,-0.00022913727839581934,-0.018014936898250955,-0.02163158462123364,-0.015030089864722485,0.006601494756511155,-0.017785799619855137,-0.017785799619855137,0
inceptiontime,chapman_cpsc,45,vector,3958,2057,0.8582617483577565,0.47107438016528924,0.003918982877060568,-0.010955648977670429,-0.01342891546407269,-0.008939701233641779,0.0044892142304309105,-0.014874631854730997,-0.014874631854730997,0
inceptiontime,chapman_cpsc,45,matrix,3958,2057,0.8582617483577565,0.47107438016528924,0.010090015143862882,-0.02904843741020019,-0.034527777996334434,-0.022086627281629224,0.01244115071470521,-0.03913845255406307,-0.03913845255406307,0
inceptiontime,chapman_cpsc,45,dirichlet,3958,2057,0.8582617483577565,0.47107438016528924,0.010337209745250979,-0.029393460951458505,-0.03500737779509633,-0.022438262782823095,0.012569115012273233,-0.039730670696709484,-0.039730670696709484,0
inceptiontime,chapman_cpsc,45,em_prior,3958,2057,0.8582617483577565,0.47107438016528924,0.0875765721434908,0.059822172086148984,0.04811436182444461,0.07214468204741106,0.02403032022296645,-0.02775440005734181,-0.02775440005734181,1
inceptiontime,chapman_cpsc,45,bbse_prior,3958,2057,0.8582617483577565,0.47107438016528924,0.08111868205307217,0.11551073200296932,0.1028718319103809,0.126746072568999,0.023874240658618096,0.034392049949897155,0.034392049949897155,1
inceptiontime,chapman_cpsc,46,ts,3958,2057,0.8908539666498232,0.4944093339815265,0.004407509766258104,0.012965948695013219,0.012596737732669179,0.013327427326122654,0.0007306895934534752,0.008558438928755114,0.008558438928755114,1
inceptiontime,chapman_cpsc,46,platt,3958,2057,0.8908539666498232,0.4944093339815265,0.005705293048631399,0.013839401069015933,0.012149253889286464,0.016943914798644273,0.004794660909357809,0.008134108020384534,0.008134108020384534,1
inceptiontime,chapman_cpsc,46,isotonic,3958,2057,0.8908539666498232,0.4944093339815265,-0.0018586988882685444,0.014316913789641672,0.01053713269337484,0.01938336532066405,0.008846232627289211,0.016175612677910216,0.016175612677910216,1
inceptiontime,chapman_cpsc,46,vector,3958,2057,0.8908539666498232,0.4944093339815265,0.003188087679050551,0.012055504633485925,0.008297535278469713,0.017413511017862017,0.009115975739392304,0.008867416954435374,0.008867416954435374,1
inceptiontime,chapman_cpsc,46,matrix,3958,2057,0.8908539666498232,0.4944093339815265,0.0018217878310511672,0.009621054230000925,0.006457776053577741,0.014407481567381922,0.007949705513804181,0.007799266398949758,0.007799266398949758,1
inceptiontime,chapman_cpsc,46,dirichlet,3958,2057,0.8908539666498232,0.4944093339815265,0.001798630998365365,0.009749789138737308,0.0065322007152439346,0.014389851068263872,0.007857650353019937,0.007951158140371943,0.007951158140371943,1
inceptiontime,chapman_cpsc,46,em_prior,3958,2057,0.8908539666498232,0.4944093339815265,-0.0026705094187919505,0.0038811255855829008,-0.000663027594152473,0.008678471802923993,0.009341499397076467,0.006551635004374851,0.006551635004374851,0
inceptiontime,chapman_cpsc,46,bbse_prior,3958,2057,0.8908539666498232,0.4944093339815265,0.002899717815303529,0.05951664840047605,0.05224190955959454,0.066884539896039,0.01464263033644446,0.05661693058517252,0.05661693058517252,1
inceptiontime,cpsc_ptbxl,42,ts,2057,2120,0.7277588721438989,0.42641509433962266,0.0029248661721852157,0.006763388185642594,0.006611329220753913,0.006906905557888844,0.00029557633713493073,0.003838522013457378,0.003838522013457378,1
inceptiontime,cpsc_ptbxl,42,platt,2057,2120,0.7277588721438989,0.42641509433962266,-6.075847045361113e-05,0.01961499282458512,0.01514794988965931,0.023496128507201872,0.008348178617542562,0.01967575129503873,0.01967575129503873,1
inceptiontime,cpsc_ptbxl,42,isotonic,2057,2120,0.7277588721438989,0.42641509433962266,-0.005092714632422658,-0.019762218652634417,-0.02239817420351373,-0.015836683854739003,0.0065614903487747275,-0.01466950402021176,-0.01466950402021176,0
inceptiontime,cpsc_ptbxl,42,vector,2057,2120,0.7277588721438989,0.42641509433962266,-0.0021599381091380876,0.01608695320262854,0.011679876490138241,0.020839121270005298,0.009159244779867057,0.018246891311766628,0.018246891311766628,1
inceptiontime,cpsc_ptbxl,42,matrix,2057,2120,0.7277588721438989,0.42641509433962266,0.006989814657703732,-0.013524077827257452,-0.016366930580383084,-0.010965651169459275,0.005401279410923809,-0.020513892484961185,-0.020513892484961185,0
inceptiontime,cpsc_ptbxl,42,dirichlet,2057,2120,0.7277588721438989,0.42641509433962266,0.006937443332130193,-0.013448836764464789,-0.016747976953343364,-0.010387537811379431,0.006360439141963933,-0.02038628009659498,-0.02038628009659498,0
inceptiontime,cpsc_ptbxl,42,em_prior,2057,2120,0.7277588721438989,0.42641509433962266,-0.00704450616274992,0.07209437518014915,0.05352173257096085,0.09050182612594766,0.03698009355498681,0.07913888134289906,0.07913888134289906,1
inceptiontime,cpsc_ptbxl,42,bbse_prior,2057,2120,0.7277588721438989,0.42641509433962266,0.002320483361025357,0.10321011858639623,0.08432755447200917,0.11924124259564144,0.03491368812363227,0.10088963522537087,0.10088963522537087,1
inceptiontime,cpsc_ptbxl,43,ts,2057,2120,0.7248420029168692,0.4009433962264151,-0.0012061288863791063,0.02028273350373333,0.019843023113803492,0.02072107304248716,0.000878049928683667,0.021488862390112436,0.021488862390112436,1
inceptiontime,cpsc_ptbxl,43,platt,2057,2120,0.7248420029168692,0.4009433962264151,0.008710281416465938,-0.00023155085013948362,-0.004003604552622892,0.0035466311012078955,0.007550235653830787,-0.008941832266605422,-0.008941832266605422,0
inceptiontime,cpsc_ptbxl,43,isotonic,2057,2120,0.7248420029168692,0.4009433962264151,-0.002024234259716061,-0.010971105584942742,-0.016265942533791187,-0.006228905212107174,0.010037037321684013,-0.008946871325226681,-0.008946871325226681,0
inceptiontime,cpsc_ptbxl,43,vector,2057,2120,0.7248420029168692,0.4009433962264151,0.009672293483672469,-0.003733850545192763,-0.008228338828402227,0.001088607266854642,0.00931694609525687,-0.013406144028865231,-0.013406144028865231,0
inceptiontime,cpsc_ptbxl,43,matrix,2057,2120,0.7248420029168692,0.4009433962264151,0.005756152584559502,-0.020432233165284475,-0.025529875727822005,-0.01520817303662624,0.010321702691195764,-0.026188385749843977,-0.026188385749843977,0
inceptiontime,cpsc_ptbxl,43,dirichlet,2057,2120,0.7248420029168692,0.4009433962264151,0.00552525622605916,-0.020637556358801934,-0.026182031064785147,-0.015724677900482455,0.010457353164302692,-0.026162812584861094,-0.026162812584861094,0
inceptiontime,cpsc_ptbxl,43,em_prior,2057,2120,0.7248420029168692,0.4009433962264151,-0.03281052672415147,-0.16386843270862456,-0.175579614808447,-0.151807202377949,0.02377241243049799,-0.1310579059844731,-0.1310579059844731,0
inceptiontime,cpsc_ptbxl,43,bbse_prior,2057,2120,0.7248420029168692,0.4009433962264151,0.019691237406953416,-0.004123077127448083,-0.010650764447120119,0.0038384551317225046,0.014489219578842624,-0.0238143145344015,-0.0238143145344015,0
inceptiontime,cpsc_ptbxl,44,ts,2057,2120,0.7379679144385026,0.45660377358490567,0.015778124271114514,0.019519161149209208,0.018926889413909742,0.01994102539455196,0.0010141359806422195,0.003741036878094694,0.003741036878094694,1
