direction,source,target,arch,seed,shift,shift_type,raw_ece,raw_brier_rel,ts_brier_rel,ts_delta_ece,brier_rel_improvement,safety,safety_source
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,noise-6,noise,0.4162096138458124,0.1967214982526685,0.015520272989707215,-0.2938616707792932,0.18120122526296129,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,gain0.5,gain,0.2445647061693068,0.07442355202977774,0.02225412744553473,-0.1520319034575473,0.05216942458424301,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,45,gain2.0,gain,0.2670389334226832,0.08863974563619242,0.018027388052984785,-0.20104603927172054,0.07061235758320764,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,fs250,downsample,0.2537246317374518,0.0704538979005796,0.01098343808218179,-0.22001888336835582,0.05947045981839781,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,fs125,downsample,0.1765522203465272,0.03308066603469174,0.003346954716153323,-0.154318446630431,0.029733711318538414,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,leads6,leads,0.30326286680448317,0.10070993801726802,0.01584487286384735,-0.20160232088560023,0.08486506515342067,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,leads3,leads,0.14144311629161557,0.032408101858212565,0.004682650885121545,-0.09252332208579292,0.02772545097309102,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,leads2,leads,0.37139216514538254,0.14771901575588936,0.04334086747905082,-0.17629532831194253,0.10437814827683854,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,leads1,leads,0.5000050359492152,0.25005984734006587,0.09373677143205482,-0.1938501830523463,0.15632307590801103,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,noise24,noise,0.3574690996328172,0.14024189292568118,0.025525719219094155,-0.2139390575435612,0.11471617370658702,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,noise12,noise,0.35392728983145333,0.13647467788264103,0.023635470461772605,-0.21380577752778684,0.11283920742086842,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,noise6,noise,0.3265333257360202,0.1196605138583976,0.01758610134077092,-0.20821625103180713,0.10207441251762668,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,noise0,noise,0.21682112220331773,0.052135029531651424,0.0035887865208065043,-0.16719780045286625,0.04854624301084492,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,noise-6,noise,0.1982686418405516,0.050034007300936316,0.0058887141736181595,-0.13493970063442093,0.04414529312731816,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,gain0.5,gain,0.16369619896801568,0.03424405375284037,0.003575910604885396,-0.13408407156115312,0.030668143147954973,1,computed
ptbxl->cpsc,ptbxl,cpsc,resnet1d,46,gain2.0,gain,0.3257204470808115,0.12425899550000595,0.024083842138163045,-0.20957251087796894,0.1001751533618429,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,fs250,downsample,0.3294649624431025,0.16859706740329194,0.032571700577147804,-0.23915877059727197,0.13602536682614413,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,fs125,downsample,0.5791013005007881,0.35046389158000646,0.08728302967815935,-0.2902503038679092,0.2631808619018471,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,leads6,leads,0.31753063779677704,0.1452494342627903,0.01937276735534528,-0.2543474750019936,0.12587666690744503,1,computed
ptbxl->cpsc,ptbxl,cpsc,inceptiontime,42,leads3,leads,0.3417584491954486,0.12795203424609036,0.007116139462897976,-0.30552341262624616,0.12083589478319239,1,computed
