T,dist,kind,n_cells,dECE_noise,dECE_primary
0.8000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.024866,-0.024866
0.9000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.011156,-0.011156
1.0000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,-0.000000,0.000000
1.1000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.004190,-0.004190
1.2500,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.021668,-0.021668
1.4000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.037765,-0.037765
1.5000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.047566,-0.047566
2.0000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.087240,-0.087240
3.0000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.135429,-0.135429
4.5000,empirical:cpsc_chapman_inceptiontime_seed45,empirical,60,0.171486,-0.171486
0.7000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.036049,-0.036049
0.8000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.021639,-0.021639
0.9000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.009586,-0.009586
1.0000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,-0.003656,0.003656
1.2500,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,-0.000742,0.000742
1.4000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.005948,-0.005948
1.5000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.010997,-0.010997
2.0000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.030453,-0.030453
3.0000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.052773,-0.052773
4.5000,empirical:cpsc_chapman_inceptiontime_seed46,empirical,60,0.071115,-0.071115
0.7000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.038964,-0.038964
0.8000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.024035,-0.024035
0.9000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.011057,-0.011057
1.0000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,-0.000000,0.000000
1.1000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,-0.002774,0.002774
1.2500,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.003533,-0.003533
1.4000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.011501,-0.011501
1.5000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.017210,-0.017210
2.0000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.041884,-0.041884
3.0000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.070040,-0.070040
4.5000,empirical:cpsc_chapman_resnet1d_seed42,empirical,60,0.091991,-0.091991
0.7000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.037316,-0.037316
0.8000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.022720,-0.022720
0.9000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.009791,-0.009791
1.0000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.001953,-0.001953
1.2500,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.018031,-0.018031
1.4000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.035290,-0.035290
1.5000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.045923,-0.045923
2.0000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.089901,-0.089901
3.0000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.145264,-0.145264
4.5000,empirical:cpsc_chapman_resnet1d_seed43,empirical,60,0.187266,-0.187266
0.7000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.042846,-0.042846
0.8000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.026065,-0.026065
0.9000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.011656,-0.011656
1.0000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.000000,-0.000000
