pair,arch,seed,source,target,T_global,fit_status,n_cal,n_id,n_ood,cal_entropy_mean,cal_entropy_std,id_rel_raw,id_rel_global_T,id_delta_rel_global,id_rel_binned_T,id_delta_rel_binned_vs_global,ood_rel_raw,ood_rel_global_T,ood_delta_rel_global,ood_rel_binned_T,ood_delta_rel_binned_vs_global
chapman_cpsc,resnet1d,43,chapman,cpsc,1.2230061126829146,ok,1979,3958,2057,0.33453845065368354,0.29107571733638393,0.0016443082838292753,0.0036547382476156912,0.002010429963786416,0.005344339905939733,0.0016896016583240418,0.14166275589718835,0.10876188516788193,-0.03290087072930642,0.09741509427327358,-0.011346790894608355
chapman_cpsc,resnet1d,44,chapman,cpsc,1.323635022792341,ok,1979,3958,2057,0.31647059846353404,0.33968037499329223,0.0007638543985841899,0.0013851599931453842,0.0006213055945611944,0.0043166492164384415,0.0029314892232930575,0.1395175476882048,0.09758123116496364,-0.041936316523241146,0.09014632125386908,-0.007434909911094564
chapman_cpsc,resnet1d,45,chapman,cpsc,1.5302028878708633,ok,1979,3958,2057,0.24023329175814562,0.27807142395593726,0.0017094594776028962,0.0021540869006585342,0.000444627423055638,0.004864524497014068,0.002710437596355534,0.16293291208375907,0.10451193843136139,-0.05842097365239768,0.08705628273542372,-0.01745565569593767
chapman_cpsc,resnet1d,46,chapman,cpsc,1.3437991592772258,ok,1979,3958,2057,0.2811225430978939,0.2721273745714697,0.0031002829350185697,0.0041811710086502325,0.0010808880736316627,0.0038997215976792525,-0.0002814494109709799,0.17597529599650102,0.1280847941364772,-0.04789050186002383,0.10807413067338568,-0.020010663463091508
chapman_cpsc,inceptiontime,42,chapman,cpsc,1.43222664517785,ok,1979,3958,2057,0.38594457868896276,0.3462188615461632,0.0011058983155330122,0.003707634513856251,0.002601736198323239,0.010638906547611376,0.006931272033755126,0.17653701528697682,0.11229036570079555,-0.06424664958618127,0.09634490169185203,-0.01594546400894352
chapman_cpsc,inceptiontime,43,chapman,cpsc,1.263318103660529,ok,1979,3958,2057,0.42931352735099043,0.335403179128481,0.0007207470320976235,0.002203851872091143,0.0014831048399935195,0.007682116805052031,0.005478264932960888,0.11263919859237775,0.08176136415378271,-0.030877834438595042,0.07271388383996513,-0.00904748031381758
chapman_cpsc,inceptiontime,44,chapman,cpsc,1.6118524350653665,ok,1979,3958,2057,0.3084986085984722,0.28726845514775934,0.00412826851832021,0.006045700001413675,0.0019174314830934652,0.006030457760276107,-1.524224113756776e-05,0.1779425379404584,0.09910678314235397,-0.07883575479810442,0.09233882627345831,-0.006767956868895655
chapman_cpsc,inceptiontime,45,chapman,cpsc,1.2438574053340865,ok,1979,3958,2057,0.38927739155171903,0.3360791356109956,0.000861623216893996,0.0031975167872701337,0.0023358935703761377,0.0065432948734539835,0.0033457780861838498,0.1446261645228179,0.10860374939386368,-0.036022415128954224,0.1084073502093775,-0.00019639918448617621
chapman_cpsc,inceptiontime,46,chapman,cpsc,1.4799010640794665,ok,1979,3958,2057,0.27244712206378363,0.26809059650680256,0.0016792992379372988,0.0026383049767081715,0.0009590057387708728,0.00475208280860211,0.0021137778318939386,0.17662887882023504,0.11793099971503408,-0.058697879105200954,0.10992914280759718,-0.008001856907436905
cpsc_ptbxl,resnet1d,42,cpsc,ptbxl,2.735393847264204,ok,1027,2057,2120,0.5900608435362212,0.26400533381688757,0.09545101889962597,0.0014070427114968524,-0.09404397618812911,0.0005378040492766633,-0.0008692386622201891,0.19280166707070853,0.028667543816410176,-0.16413412325429835,0.029021082197181733,0.0003535383807715571
cpsc_ptbxl,resnet1d,43,cpsc,ptbxl,2.5512353145238826,ok,1027,2057,2120,0.6833383628959707,0.25491613910185723,0.052985664544107726,0.0015428474388158979,-0.051442817105291826,0.001365498831119726,-0.00017734860769617194,0.17023297652361238,0.031250111681825385,-0.138982864841787,0.03044831408005181,-0.0008017976017735753
cpsc_ptbxl,resnet1d,44,cpsc,ptbxl,3.2499354254623336,ok,1027,2057,2120,0.601086075785322,0.23972633086789402,0.09394400107535726,0.001764564818455037,-0.09217943625690223,0.0025908715103777685,0.0008263066919227315,0.18720005228513503,0.015962575662019387,-0.17123747662311564,0.01930261220872333,0.0033400365467039436
cpsc_ptbxl,resnet1d,45,cpsc,ptbxl,3.124322258460556,ok,1027,2057,2120,0.5384014951050345,0.28186447220235356,0.08255336152007382,0.010021640541015647,-0.07253172097905818,0.0029072733515181823,-0.0071143671894974645,0.15928089068870332,0.01171142410039088,-0.14756946658831244,0.0060879512287671435,-0.005623472871623736
cpsc_ptbxl,resnet1d,46,cpsc,ptbxl,3.517769660732684,ok,1027,2057,2120,0.49771056666793423,0.27757799129942073,0.13408014899020126,0.020269211593516634,-0.11381093739668463,0.0029655247895309413,-0.017303686803985693,0.2310319355452654,0.030074501648317407,-0.200957433896948,0.023442794796443213,-0.006631706851874194
cpsc_ptbxl,inceptiontime,42,cpsc,ptbxl,2.7500469670601704,ok,1027,2057,2120,0.6841770819539358,0.32471598918799527,0.047569412236361096,0.0028622107416114333,-0.04470720149474966,0.0037577324404752003,0.000895521698863767,0.13235517334798144,0.018898318380703064,-0.11345685496727838,0.013830458772760845,-0.005067859607942218
cpsc_ptbxl,inceptiontime,43,cpsc,ptbxl,2.820685505967507,ok,1027,2057,2120,0.6528058847626133,0.2529212464925868,0.06970589532530169,0.010146334658313817,-0.05955956066698788,0.0018976264929268186,-0.008248708165386998,0.22085476602648288,0.05495932458822548,-0.1658954414382574,0.040570039317364304,-0.014389285270861175
cpsc_ptbxl,inceptiontime,44,cpsc,ptbxl,3.045572620744105,ok,1027,2057,2120,0.5766008344884451,0.27741766723837,0.08748314696517029,0.009399180440698094,-0.07808396652447219,0.005042685071256233,-0.004356495369441861,0.1924292452626014,0.025360434049414265,-0.16706881121318715,0.01706405231409664,-0.008296381735317625
cpsc_ptbxl,inceptiontime,45,cpsc,ptbxl,3.1687508769300905,ok,1027,2057,2120,0.6495679664525552,0.2539043848826725,0.08802299465386011,0.004029497800810968,-0.08399349685304915,0.0025006298909026666,-0.0015288679099083012,0.20327154774044506,0.02850450875683468,-0.17476703898361037,0.027525079769127728,-0.0009794289877069519
cpsc_ptbxl,inceptiontime,46,cpsc,ptbxl,2.7373150664726684,ok,1027,2057,2120,0.6712010894209615,0.2838771441469359,0.06228430791178258,0.006079156602428259,-0.056205151309354315,0.002786516373132528,-0.0032926402292957307,0.1027579067402249,0.00842353463779288,-0.09433437210243202,0.003237028254024746,-0.005186506383768133
cpsc_chapman,resnet1d,42,cpsc,chapman,2.060530990563663,ok,1027,2057,3958,0.7953344507142155,0.2822823894361253,0.042503631267596126,0.013486926398883175,-0.029016704868712953,0.0008845656884012332,-0.01260236071048194,0.012474827496253128,0.025671490010553983,0.013196662514300855,0.010621745441858434,-0.01504974456869555
cpsc_chapman,resnet1d,43,cpsc,chapman,2.5513717677375434,ok,1027,2057,3958,0.5668400249258077,0.3011819863906481,0.1140020507068997,0.030208116387748587,-0.08379393431915111,0.008916622686810472,-0.021291493700938115,0.027696727934560177,0.017823550523546266,-0.00987317741101391,0.02221940062305728,0.004395850099511014
cpsc_chapman,resnet1d,44,cpsc,chapman,3.129226923583734,ok,1027,2057,3958,0.6886055199484381,0.23463180653592097,0.0934167688754712,0.006800970803459876,-0.08661579807201134,0.005905292300057477,-0.0008956785034023992,0.034069989843384565,0.01343872698368242,-0.020631262859702147,0.01041887047178059,-0.0030198565119018295
cpsc_chapman,resnet1d,45,cpsc,chapman,2.7420416729172334,ok,1027,2057,3958,0.6263949493801957,0.2607717394263675,0.08707299733826705,0.011976525096746843,-0.0750964722415202,0.0030822487139766054,-0.008894276382770239,0.013252813248693388,0.040217995138973346,0.02696518189027996,0.02345829898381426,-0.016759696155159085
