src,tgt,arch,seed,T,s_hat,b_hat,pi_l1,d_obs,d_obs_json,d_pred_json,d_pred_lin,d_pred_full,e_raw,e_ts,ood_acc,wass
chapman,ptbxl,inceptiontime,46,1.074181147812797,1.0610641716212563,0.0389330949063332,0.9515244526294251,-0.089418878295145,0.0172523530994782,0.35104700605283834,-0.009940503243320735,-0.10993718590525636,0.25536680286046987,0.34478568115561486,0.5207182320441989,0.5826866626739502
chapman,ptbxl,resnet1d,42,1.1246112144742808,1.1675323925446943,-0.017924969235850012,0.9515244526294251,-0.08134638404209532,0.030552405016577244,0.3821537658676311,-0.02382308544281765,-0.12001312264750674,0.24607679970960372,0.32742318375169904,0.5584714548802947,0.1761210411787033
chapman,ptbxl,resnet1d,43,1.1279481087131698,1.1909189241943254,-0.009539991303413736,0.9515244526294251,-0.07326004382490459,0.029396794195216014,0.38902330779526306,-0.02259497625650544,-0.10697301618521615,0.27630871200923757,0.34956875583414215,0.5478821362799263,0.33921897411346436
chapman,ptbxl,resnet1d,44,1.0684319939700566,1.1035863860999087,0.037124237756798226,0.9515244526294251,-0.08763816366812577,0.01684829323978637,0.3495263321496032,-0.015679444361387584,-0.11252059622858113,0.25865944148372333,0.3462976051518491,0.5377532228360957,0.2315424531698227
chapman,ptbxl,resnet1d,45,0.9878828624250616,0.9301980454521658,0.13669834468474915,0.9515244526294251,-0.1139428669631371,-0.0034527458516558918,0.39746960887783594,0.013631033343658365,-0.09681436029806545,0.25615212697240747,0.37009499393554457,0.5041436464088398,0.5927429795265198
chapman,ptbxl,resnet1d,46,1.063524700627107,1.0949267908398475,-0.0051455200173667354,0.9515244526294251,-0.08494698479908824,0.014855942909421521,0.4016688363193764,-0.012543805036085438,-0.10470267333104016,0.24400115375360737,0.3289481385526956,0.5621546961325967,0.330208957195282
cpsc,chapman,inceptiontime,42,2.750045974462376,1.7034226713508822,1.072330552868732,0.6718543735513052,0.03245626086535749,-0.06221443773794841,0.23446772463330767,-0.11454875247866156,-0.16780123449654932,0.0844072361541192,0.05195097528876171,0.6361798888327438,0.9715641140937805
cpsc,chapman,inceptiontime,43,2.8206852650068517,1.2761638217111146,1.1911389432292692,0.6718543735513052,0.10066759581063481,0.06901890310285075,0.20027220021839925,-0.05029255216878552,-0.15313571181003346,0.14557546996118567,0.044907874150550864,0.5712481051035877,0.8015154004096985
cpsc,chapman,inceptiontime,44,2.4961144294954902,1.2848576535638903,0.9923770214257396,0.6718543735513052,0.025882072456862464,-0.07298332895512041,0.23220826737545777,-0.0498561310770857,-0.14675277357091804,0.0760218127771361,0.050139740320273636,0.639211723092471,0.754063606262207
cpsc,chapman,inceptiontime,45,3.4375648270228827,2.0521096522285793,1.6575172682307482,0.6718543735513052,0.14138200467225576,0.055065171519806735,0.2256935114486559,-0.14770141875219026,-0.16681477313032045,0.18106810001636647,0.0396860953441107,0.5826174835775644,0.9455677270889282
cpsc,chapman,inceptiontime,46,2.195875689458944,3.878378623890028,1.5424498418545143,0.6718543735513052,0.06822805724823454,0.14802334243277887,0.178241504270283,-0.606032130907352,-0.28895478949756437,0.1743857961462386,0.10615773889800405,0.4615967660434563,0.8153899312019348
