src,tgt,arch,seed,T,d_obs_true,d_pred_json,inj_on_raw_sum,inj_on_raw_s,inj_on_raw_b,inj_on_raw_pi,inj_on_raw_e0,inj_on_raw_e_full,inj_on_ts_sum,inj_on_ts_s,inj_on_ts_b,inj_on_ts_pi,inj_on_ts_e0,inj_on_ts_e_full
cpsc,ptbxl,resnet1d,42,2.735391419860299,0.25844551257609716,0.15309271314088513,-0.46989802787011586,-0.2979126388591681,0.0,-0.1719853890109478,0.5318358060323967,0.0619377781622808,-0.25297567088718853,0.0,0.0,-0.25297567088718853,0.3906380466554525,0.13766237576826396
cpsc,ptbxl,resnet1d,43,2.5512128896851194,0.22561141381183952,0.18660219486704277,-0.45389639520481856,-0.27141761093210215,0.0,-0.1824787842727164,0.51228108625367,0.058384691048851384,-0.27869678425337047,0.0,0.0,-0.27869678425337047,0.38577440501946325,0.10707762076609278
cpsc,ptbxl,resnet1d,44,3.2499059272046495,0.2900435380413028,0.16234884176823544,-0.431949347187492,-0.3133936489093567,0.0,-0.11855569827813528,0.5318037073848383,0.09985436019734632,-0.2232253042774349,0.0,0.0,-0.2232253042774349,0.32727239560687316,0.10404709132943825
cpsc,ptbxl,resnet1d,45,3.1243148338207676,0.27145276081683745,0.16858484744090485,-0.410818123825891,-0.29097517545716384,0.0,-0.11984294836872719,0.4810841356948862,0.07026601186899516,-0.1818297784554335,0.0,0.0,-0.1818297784554335,0.30623074061465716,0.12440096215922367
cpsc,ptbxl,resnet1d,46,3.517784721833407,0.29863610668688767,0.12598726002551736,-0.49159550224048953,-0.33638272813553527,0.0,-0.15521277410495424,0.5503712849094058,0.05877578266891631,-0.27889249304073743,0.0,0.0,-0.27889249304073743,0.3592760545465181,0.08038356150578069
ptbxl,chapman,inceptiontime,42,1.137414233816701,0.030625349391622772,0.44886086808540676,-0.09776841027559818,-0.023877680041565597,0.0,-0.07389073023403259,0.22500547828497708,0.1272370680093789,-0.06263795628840674,0.0,0.0,-0.06263795628840674,0.2717718033437376,0.20913384705533083
ptbxl,chapman,inceptiontime,43,1.1058476761558191,0.022405520310099236,0.44736202949317555,-0.13296368172000922,-0.01917182377980385,0.0,-0.11379185794020535,0.26731201514785674,0.13434833342784752,-0.07982706110707818,0.0,0.0,-0.07982706110707818,0.31954343189427875,0.23971637078720057
ptbxl,chapman,inceptiontime,44,1.0737596178986828,0.019701951814679042,0.42912147447216137,-0.16864461404362174,-0.015500331633405298,0.0,-0.15314428241021644,0.29231728458110195,0.1236726705374802,-0.1184684345484934,0.0,0.0,-0.1184684345484934,0.3533420842150112,0.23487364966651778
ptbxl,chapman,inceptiontime,45,1.0935977150684193,0.022236273963223765,0.4415273421125825,-0.1172667899710339,-0.018122439976566172,0.0,-0.09914434999446772,0.23759093823992178,0.12032414826888789,-0.09161542385200605,0.0,0.0,-0.09161542385200605,0.2965805432310811,0.20496511937907502
ptbxl,chapman,inceptiontime,46,0.9896139822060166,-0.002658034162162398,0.38461750314413123,-0.16283919063608557,0.003129744164301562,0.0,-0.16596893480038713,0.2795462697155682,0.1167070790794826,-0.1257559943128814,0.0,0.0,-0.1257559943128814,0.3723202824003903,0.24656428808750888
ptbxl,chapman,mamba,42,0.6056905696123951,-0.09198903693290163,-0.02956263785120196,-0.004514267768317773,0.08458400136082221,0.0,-0.08909826912913998,0.12696890062020147,0.12245463285188371,-0.3136292893592171,0.0,0.0,-0.3136292893592171,0.38092507305704515,0.0672957836978281
ptbxl,chapman,mamba,43,0.5230027874118076,-0.09381972938306911,-0.017441276299405964,0.0611197522507192,0.08397881615583531,0.0,-0.022859063905116113,0.06784277627497541,0.12896252852569462,-0.14022735095541933,0.0,0.0,-0.14022735095541933,0.2916696521750203,0.15144230121960092
